cell_id,cluster,mean_event_prob,burden_rate,m6a_freq_cell,n_significant
SRR15269172,0,0.33928420107734475,0.006465870027827795,0.02431672747151984,237
SRR15269827,0,0.33895077015784497,0.006348957516852171,0.028282465726839335,243
SRR15270062,0,0.33934380810980863,0.006338920974785181,0.022714341253733648,225
SRR15269759,0,0.3383212867562358,0.0062650099195990395,0.026587165663468786,240
SRR15268909,0,0.34107571351856136,0.006264575426402671,0.02642042974392932,274
SRR15269602,0,0.3434649755669963,0.006213258136978444,0.025055570324146955,260
SRR15269447,0,0.3398787925825545,0.006184306440614198,0.027543164957578796,263
SRR15269200,0,0.3422691539369029,0.006115017928120744,0.02570169489463552,220
SRR15269583,0,0.34123990896275397,0.006087035522849096,0.02452630606882309,268
SRR15269770,0,0.34036445856235725,0.0060153215364695724,0.021907329439501234,223
SRR15269766,0,0.34141302135880075,0.005958005249343832,0.025880145048433858,227
SRR15270035,0,0.3411180297417081,0.005952831378484046,0.02569923671809069,236
SRR15268939,0,0.34221576046669333,0.0058960116554361685,0.024747202390247396,259
SRR15269238,0,0.3408478098545293,0.0058703837968052015,0.026693923018539123,251
SRR15269660,0,0.34209204915844926,0.005863936788749193,0.025055848566897892,236
SRR15269004,0,0.34157288272640124,0.005843968657459577,0.020138564250875412,223
SRR15269349,0,0.3415630907039438,0.005843681519357195,0.02313659117681091,216
SRR15269235,0,0.34222045834260356,0.005820000990638467,0.021984026829791063,235
SRR15269511,0,0.34003825607634397,0.005810908546774073,0.02143346361551138,233
SRR15269927,0,0.34039690293678226,0.00579406108738543,0.024018366845017125,232
SRR15268952,0,0.34122660859197435,0.005776720600151606,0.02389769375066016,221
SRR15269963,0,0.338951044899618,0.005764036272429095,0.025974779368839455,239
SRR15269241,0,0.340365555263821,0.005741060165280746,0.024409470948994132,223
SRR15269237,0,0.34146385480075025,0.0057114353410649705,0.025266030393995907,229
SRR15269556,0,0.34193573932170507,0.005683478076116113,0.020985238247480643,214
SRR15269674,0,0.34121596945802407,0.005609969191152803,0.024873716544542197,244
SRR15269667,0,0.34184911696727127,0.005577076293304761,0.02035546252188628,203
SRR15269189,0,0.343974520049058,0.005561904761904762,0.023655796204408653,219
SRR15269761,2,0.34349763040515124,0.005514166715551124,0.02594274877894515,188
SRR15269896,0,0.3410177681335357,0.00548970400412288,0.024832654775144864,245
SRR15269124,0,0.34158511281738835,0.005481533743996092,0.029752478396684087,202
SRR15268944,0,0.34151202643284156,0.005397301349325337,0.02165002897662885,234
SRR15269800,0,0.34088024571996106,0.005371461193139061,0.02201821656535538,207
SRR15269607,0,0.3462660729214188,0.005359387227584244,0.028893805068034458,226
