cell_id,n_entries,n_significant,n_detected_entries,mean_event_prob,median_event_prob,event_prob_std,mean_event_prob_residual,total_Y,total_N,n_sites,mean_posterior_fg,burden_rate,detected_entry_rate,m6a_freq_cell,cell_rank
SRR15268944,43355,234,13587,0.34151202643284156,0.32905337,0.27454877049753795,0.3222280005678844,173452.0,8011629,43355,,0.005397301349325337,0.31338945911659555,0.02165002897662885,121.0
SRR15269800,38537,207,11828,0.34088024571996106,0.3273009,0.27097142551461867,0.3215094807179865,123289.0,5599409,38537,,0.005371461193139061,0.30692581155772375,0.02201821656535538,122.0
SRR15269607,42169,226,13411,0.3462660729214188,0.33471563,0.27297376647149835,0.32660462275248964,132239.0,4576725,42169,,0.005359387227584244,0.3180298323412934,0.028893805068034458,123.0
SRR15269814,41420,221,12763,0.3400577556804242,0.3266478,0.27186980836316477,0.32084085347310803,103818.0,4272272,41420,,0.00533558667310478,0.3081361661033317,0.024300419074440954,124.0
SRR15269561,41316,220,12822,0.3404050235476203,0.32701129,0.2731254007813517,0.3210715180865476,161364.0,7581889,41316,,0.005324813631522897,0.31033981992448445,0.021282822789940606,125.0
SRR15270066,39717,210,12166,0.34048809082237846,0.3265366,0.27084853559195426,0.3214243074300612,117742.0,4716497,39717,,0.00528740841453282,0.30631719414860137,0.024963866191370417,126.0
SRR15269035,40919,216,12783,0.3423550740210327,0.3289579,0.2735326168528831,0.32302723292902397,107521.0,5376027,40919,,0.005278721376377722,0.31239766367702043,0.020000085565046455,127.0
SRR15269791,39868,209,12313,0.339579195396536,0.32599351,0.2716058853859475,0.3205570099282224,101466.0,4969358,39868,,0.00524229958864252,0.3088441858131835,0.020418331704014886,128.0
SRR15269675,43429,227,13529,0.3400532497494569,0.32823524,0.2735609096186611,0.32081192127280667,162859.0,7179586,43429,,0.005226922102742407,0.3115199521057358,0.022683619919031544,129.0
SRR15269356,34291,175,10482,0.3413394173789356,0.32450217,0.2701603948872412,0.3217949123743988,72965.0,3017748,34291,,0.005103379895599429,0.3056778746609898,0.024178625915749093,130.0
SRR15269227,40201,205,12397,0.33960802603487744,0.32603803,0.2729838153728782,0.3202816734884054,136985.0,6216614,40201,,0.005099375637421954,0.3083754135469267,0.022035307323247027,131.0
SRR15269433,37311,190,11430,0.33989032015630805,0.32471025,0.2715095187312965,0.32048830626980135,89323.0,4213403,37311,,0.005092332020047707,0.3063439736270805,0.021199728580437237,132.0
SRR15270008,47926,235,15114,0.34282026212545913,0.33222234,0.27522398459532427,0.3236095710448445,205653.0,7761281,47926,,0.004903392730459458,0.31536118182197553,0.026497301154281103,133.0
SRR15270027,39447,188,12195,0.3397135815821585,0.32573587,0.2730510753729369,0.3204373852848168,135677.0,6249716,39447,,0.004765888407229954,0.3091489847136664,0.021709306470886036,134.0
SRR15269945,43326,201,13552,0.3412886320974332,0.32911445,0.27425216122831125,0.32204044431463424,135516.0,8081563,43326,,0.004639246641739371,0.3127913954669252,0.01676853846217619,135.0
SRR15269462,37849,172,11743,0.3415500111123026,0.32693282,0.2729694674444684,0.32178804666716426,174813.0,7347889,37849,,0.004544373695474121,0.3102591878253058,0.023790914642287057,136.0
SRR15269654,41377,185,12780,0.3412914447886513,0.32796296,0.27236167630127667,0.32189351537537186,150513.0,6886717,41377,,0.004471082968799092,0.30886724508785074,0.021855551781785137,137.0
SRR15268948,45865,199,14336,0.3401657584551856,0.32937247,0.2753783645453158,0.32101837934329175,192055.0,9099102,45865,,0.0043388204513245395,0.31256949743813367,0.02110702792429407,138.0
SRR15269861,35892,154,10866,0.33767262895975425,0.32087044499999995,0.2701759794214033,0.31839499727725756,94423.0,4702123,35892,,0.0042906497269586535,0.3027415580073554,0.020080929401463977,139.0
SRR15270023,47677,197,15233,0.3446785644639605,0.33529016,0.27615159829651187,0.32535020398844966,183088.0,9371072,47677,,0.004131971390817375,0.3195041634331019,0.01953757264910567,140.0
SRR15268922,41219,170,12911,0.34175011494059937,0.32775915,0.2748803147770754,0.3222949075833666,103180.0,6069169,41219,,0.0041243116038720004,0.3132293359858318,0.01700067999424633,141.0
SRR15269959,37903,154,11701,0.33968222812098625,0.32573378,0.27305996198604726,0.3203165194538429,110118.0,6703350,37903,,0.004063002928528085,0.30870907316043583,0.016427308733692855,142.0
SRR15269188,36013,143,10923,0.3386599361256896,0.32252812,0.2695524233665653,0.319409943386719,72296.0,3515128,36013,,0.003970788326437675,0.3033071390886624,0.02056710310406904,143.0
SRR15268965,42866,158,13325,0.3408195042880767,0.32740842000000003,0.2730492405349251,0.3217022823476971,99357.0,5342037,42866,,0.00368590491298465,0.31085242383240796,0.018599084955794952,144.0
SRR15269119,39401,64,12243,0.3409963596202864,0.32554525,0.27400480123145315,0.32150245180071824,23086.0,6040702,39401,,0.00162432425572955,0.3107281541077638,0.003821741247954294,145.0
SRR15270022,33532,40,10288,0.34011075564926735,0.32564471500000003,0.2704612856285807,0.3204824893333574,4073.0,7123253,33532,,0.001192890373374687,0.30681140403196944,0.0005717893215361015,146.0
